Corpus,File,Name,Verb,Age,Sent,Syntactic Object,Event or Object,Syntactic Object,Event or Object,Convergence,Comments,Comments
Brown,adam55.xml,['Adam'],give|gives|given|gived|giving|gave,['P5Y2M12D'],I give up,,,,,0,,?
Brown,adam55.xml,['Adam'],give|gives|given|gived|giving|gave,['P5Y2M12D'],and then give it to me when you finish and then I'm gonna make mines mine,,,,,0,,
Brown,eve07.xml,['Eve'],give|gives|given|gived|giving|gave,['P1Y9M'],he giving hay,hay,object,hay,object,object,,
Brown,eve08.xml,['Eve'],give|gives|given|gived|giving|gave,['P1Y9M'],giving giving baby Sarah cereal,cereal,object,cereal,object,object,,
Brown,eve08.xml,['Eve'],give|gives|given|gived|giving|gave,['P1Y9M'],I no Mommy giving baby Sarah milk,milk,object,milk,object,object,,
Brown,eve08.xml,['Eve'],give|gives|given|gived|giving|gave,['P1Y9M'],no Mommy giving baby Sarah milk,milk,object,milk,object,object,,
Brown,eve08.xml,['Eve'],give|gives|given|gived|giving|gave,['P1Y9M'],no Mommy giving baby Sarah milk,milk,object,milk,object,object,,
Brown,eve08.xml,['Eve'],give|gives|given|gived|giving|gave,['P1Y9M'],no Mommy giving baby Sarah milk,milk,object,milk,object,object,,
Brown,eve08.xml,['Eve'],give|gives|given|gived|giving|gave,['P1Y9M'],no Mommy giving baby Sarah milk,milk,object,milk,object,object,,
Brown,eve09.xml,['Eve'],give|gives|given|gived|giving|gave,['P1Y10M'],not giving Pap this one,one,pronoun,one,pronoun,pronoun,?,
Brown,eve10.xml,['Eve'],give|gives|given|gived|giving|gave,['P1Y10M'],go give dolly bottle,bottle,object,bottle,object,object,,
Brown,eve10.xml,['Eve'],give|gives|given|gived|giving|gave,['P1Y10M'],Margaret give xxx Becky,,,,,0,,?
Brown,eve11.xml,['Eve'],give|gives|given|gived|giving|gave,['P1Y11M'],you give for Papa,,,,,0,,?
Brown,eve12.xml,['Eve'],give|gives|given|gived|giving|gave,['P1Y11M'],Sue giving some milk,milk,object,milk,object,object,,
Brown,eve13.xml,['Eve'],give|gives|given|gived|giving|gave,['P2Y0M'],go give him,,,,,0,,?
Brown,eve16.xml,['Eve'],give|gives|given|gived|giving|gave,['P2Y1M'],Papa give me a pad,pad,object,pad,object,object,,
Brown,eve17.xml,['Eve'],give|gives|given|gived|giving|gave,['P2Y2M'],you give me something,something,pronoun,something,pronoun,pronoun,,
Brown,eve17.xml,['Eve'],give|gives|given|gived|giving|gave,['P2Y2M'],I want mine my book and my own favorite book Papa gave me,,,,,0,?,?
Brown,eve18.xml,['Eve'],give|gives|given|gived|giving|gave,['P2Y2M'],while I read Fraser story you give me picture okay,picture,object,picture,object,object,,
Brown,eve18.xml,['Eve'],give|gives|given|gived|giving|gave,['P2Y2M'],an you gave it to Mama,,,,,0,,
Brown,eve18.xml,['Eve'],give|gives|given|gived|giving|gave,['P2Y2M'],it's uh happiness book Cathy gave me,,,,,0,?,?
Brown,eve19.xml,['Eve'],give|gives|given|gived|giving|gave,['P2Y3M'],I giving you some bread and butter,bread and butter,object,bread and butter,object,object,,
Brown,eve19.xml,['Eve'],give|gives|given|gived|giving|gave,['P2Y3M'],you please give me another cookie,cookie,object,cookie,object,object,,
Brown,eve19.xml,['Eve'],give|gives|given|gived|giving|gave,['P2Y3M'],please give me two crackers,crackers,object,cracker,object,object,,
Brown,sarah013.xml,['Sarah'],give|gives|given|gived|giving|gave,['P2Y5M15D'],xxx give me,,,,,0,,
Brown,sarah014.xml,['Sarah'],give|gives|given|gived|giving|gave,['P2Y5M25D'],Auntie_Mar gave that,that,pronoun,that,pronoun,pronoun,,
Brown,sarah024.xml,['Sarah'],give|gives|given|gived|giving|gave,['P2Y8M2D'],Dot gave me,,,,,0,,?
Brown,sarah024.xml,['Sarah'],give|gives|given|gived|giving|gave,['P2Y8M2D'],xxx Dot gave me,,,,,0,,?
Brown,sarah024.xml,['Sarah'],give|gives|given|gived|giving|gave,['P2Y8M2D'],xxx gave me d,,,,,0,,?
Brown,sarah024.xml,['Sarah'],give|gives|given|gived|giving|gave,['P2Y8M2D'],Esther gave me,,,,,0,,?
Brown,sarah033.xml,['Sarah'],give|gives|given|gived|giving|gave,['P2Y10M11D'],Jo_ann gave me,,,,,0,,?
Brown,sarah037.xml,['Sarah'],give|gives|given|gived|giving|gave,['P2Y11M17D'],I want give you ride,ride,event,ride,event,event,,?
Brown,sarah041.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y0M18D'],Gran Barnes gave me,,,,,0,,?
Brown,sarah041.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y0M18D'],she gave me,,,,,0,,?
Brown,sarah050.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y2M23D'],uh Nana gave it to me,,,,,0,,
Brown,sarah053.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y3M13D'],we don't want to give her the wrong thing,thing,object,thing,object,object,,
Brown,sarah064.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y6M6D'],Mommy give me a wide pencil,pencil,object,pencil,object,object,,
Brown,sarah067.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y6M30D'],maybe my Daddy give me a big piano,piano,object,piano,object,object,,
Brown,sarah068.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y7M9D'],I gave it away the dog my sandwich,sandwhich,object,sandwich,object,object,,?
Brown,sarah068.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y7M9D'],or I give you that,that,pronoun,that,pronoun,pronoun,,
Brown,sarah068.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y7M9D'],she give me an a,,,,,0,,?
