Corpus,File,Name,Verb,Age,Sent,Syntatic Object,Event or Object,Syntatic Object,Event or Object,Convergence,Comments,Comments,,,,,,,,,,,,,
Brown,adam18.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y11M13D'],how do you know,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam18.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y11M13D'],how do you know Pucilia,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam18.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y11M13D'],le me do again,,,,,0,,,,,,,,,,,,,,,
Brown,adam18.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y11M13D'],that one does it,,,,,0,,,,,,,,,,,,,,,
Brown,adam18.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y11M13D'],see do it again,,,,,0,,,,,,,,,,,,,,,
Brown,adam18.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y11M13D'],d you want do want d you want,,,,,0,,,,,,,,,,,,,,,
Brown,adam18.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y11M13D'],I too big do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam18.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y11M13D'],what you doing taking out,,,,,0,,,,,,,,,,,,,,,
Brown,adam18.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y11M13D'],maybe does fit,,,,,0,,,,,,,,,,,,,,,
Brown,adam18.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y11M13D'],do do wan me do wan me dat that go,,,,,0,,,,,,,,,,,,,,,
Brown,adam19.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y11M28D'],I did xxx catch him,,,,,0,,,,,,,,,,,,,,,
Brown,adam19.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y11M28D'],what vi doing on his back,,,,,0,,,,,,,,,,,,,,,
Brown,adam19.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y11M28D'],we didn't we didn't show dat that,,,,,0,,,,,,,,,,,,,,,
Brown,adam19.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y11M28D'],what dey they doing hm,,,,,0,,,,,,,,,,,,,,,
Brown,adam20.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P3Y0M11D'],what dat that do treasure chest,chest,object,treasure chest,object,object,?,,,,,,,,,,,,,,
Brown,adam20.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P3Y0M11D'],I doing some work,work,event,work,event,event,?,?,,,,,,,,,,,,,
Brown,adam20.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P3Y0M11D'],no let Mommy do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam20.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P3Y0M11D'],come on I can't do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam20.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P3Y0M11D'],I  do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam20.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P3Y0M11D'],I didn't have some shaving,,,,,0,,,,,,,,,,,,,,,
Brown,adam20.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P3Y0M11D'],we do  tomorrow,,,,,0,,,,,,,,,,,,,,,
Brown,adam20.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P3Y0M11D'],d you wan me do like that,,,,,0,,,,,,,,,,,,,,,
Brown,adam21.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P3Y0M25D'],let's do another game,game,event,game,event,event,,?,,,,,,,,,,,,,
Brown,adam21.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P3Y0M25D'],let's do another game,game,event,game,event,event,,,,,,,,,,,,,,,
Brown,adam21.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P3Y0M25D'],I going to do that,that,pronoun,that,pronoun,pronoun,,,,,,,,,,,,,,,
Brown,adam21.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P3Y0M25D'],I want to do that get up my nap,that,pronoun,that,pronoun,pronoun,,,,,,,,,,,,,,,
Brown,adam21.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P3Y0M25D'],let's do xxx again,,,,,0,,,,,,,,,,,,,,,
Brown,adam21.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P3Y0M25D'],look I did to mailbox,,,,,0,,,,,,,,,,,,,,,
Brown,adam21.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P3Y0M25D'],yep you can do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam21.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P3Y0M25D'],Mommy do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam21.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P3Y0M25D'],please d you to do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam21.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P3Y0M25D'],what you doing on rolling like a egg,,,,,0,,,,,,,,,,,,,,,
Brown,adam21.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P3Y0M25D'],what you doing rolling like a egg,,,,,0,,,,,,,,,,,,,,,
